times,sst,sst_err,ftemp,wind,atemp,swrad,humid,boatspd
1164978.7199999983,298.601,0.07312328767123288,296.411,0.94,298.353,819.3,0.01,1.1
1165669.9200000016,298.678,0.10672602739726027,296.587,1.001,298.377,823.0,0.01,1.3
1166370.00000002,298.598,0.10821917808219178,296.32,2.161,298.545,827.9,0.01,1.2
1167061.4400000407,298.593,0.1601643835616438,296.61499999999995,1.67,298.361,817.5,0.01,1.2
1167753.1199999906,298.344,0.0547945205479452,296.83599999999996,1.962,298.241,807.3,0.01,1.4
1168444.8000000287,298.478,0.0798904109589041,297.094,0.393,298.294,792.0,0.01,1.6
1169136.7200000007,298.709,0.13894520547945205,296.97499999999997,1.44,298.724,778.0,0.01,1.5
1169837.039999953,299.093,0.06698630136986301,297.12,1.407,298.397,758.6,0.01,1.7
1170528.7199999911,298.467,0.09073972602739724,297.087,1.833,298.39,756.8,0.01,3.8
1171223.03999998,298.507,0.08493150684931508,296.86899999999997,1.635,298.596,746.3,0.01,5.4
1171934.8799999917,299.259,0.07064383561643836,297.09799999999996,1.897,298.946,728.1,0.01,4.5
1172627.520000021,299.224,0.07742465753424657,296.948,2.955,298.974,699.3,0.01,1.1
1173318.4800000018,298.933,0.0893013698630137,296.926,2.842,299.018,661.7,0.01,1.3
1174018.5600000205,299.486,0.12043835616438357,297.405,1.846,299.357,631.7,0.01,1.1
1174717.9199999818,299.342,0.0876164383561644,297.48199999999997,2.598,299.384,604.2,0.01,1.0
1175408.4000000115,299.725,0.08160273972602738,297.55699999999996,2.583,299.414,572.1,0.01,1.5
1176099.1199999703,299.628,0.10753424657534248,297.53499999999997,2.083,299.251,550.0,0.01,1.1
1176807.8399999915,299.251,0.06534246575342464,297.65299999999996,1.859,299.115,520.9,0.01,1.3
1177499.0399999898,299.513,0.05063013698630137,297.376,1.848,299.207,482.0,0.01,0.8
1178189.760000037,299.264,0.09893150684931508,297.47999999999996,2.744,298.882,445.3,0.01,1.1
1178880.4800000004,299.027,0.09247945205479452,297.664,1.238,299.08,406.9,0.01,1.1
1179571.1999999592,298.159,0.07906849315068493,297.77299999999997,2.374,298.678,370.7,0.01,1.0
1180271.3280000186,298.603,0.07931506849315068,297.64099999999996,1.99,298.855,307.8,0.01,4.7
1187514.7199999727,297.631,0.1103835616438356,297.42699999999996,3.456,298.596,-0.5,0.01,1.2
1188214.7999999914,297.429,0.12824657534246575,297.659,3.746,298.576,-0.8,0.01,0.5
1188905.6639999792,297.4,0.07468493150684932,297.25399999999996,4.228,299.042,-0.2,0.01,4.2
1189596.55199999,297.225,0.082,297.60499999999996,3.9,298.997,0.3,0.01,0.0
1190287.4159999825,297.179,0.132,297.563,3.9,299.556,1.3,0.01,0.0
1190978.2799999702,297.2,0.1584931506849315,297.214,4.839,299.996,1.2,0.01,3.2
1191677.7839999609,297.251,0.1038904109589041,297.496,3.76,299.832,1.4,0.01,1.2
1192368.6719999714,297.029,0.06,297.419,2.6,300.149,1.4,0.01,0.0
1193059.535999959,297.194,0.07389041095890411,297.34,6.198,299.928,0.9,0.01,4.0
1199303.2800000014,295.347,0.1936438356164384,295.313,5.669,299.916,1.9,0.01,10.2
1199994.1920000298,297.352,0.12130136986301371,296.39099999999996,4.566,301.462,1.3,0.01,10.7
1200676.5599999605,299.715,0.1587945205479452,297.81,6.584,303.329,2.7,0.01,10.6
1201367.2800000077,299.834,0.13676712328767124,299.955,5.787,303.175,0.6,0.01,11.0
1202048.8800000171,300.23,0.13534246575342465,300.13199999999995,5.368,302.746,1.1,0.01,11.4
1202730.2400000093,300.066,0.1772054794520548,300.256,5.158,302.686,0.5,0.01,11.8
1203419.9999999818,299.333,0.11309589041095891,298.04699999999997,2.728,301.967,-0.4,0.01,11.2
1204102.920000011,299.028,0.18876712328767123,299.209,4.13,303.183,2.0,0.01,11.4
